"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";"MP";"MPN";"PACKAGE";"PRICE";"PROD_ID";"PURCHASE-URL";"SF_SKU";"VALUE";
"BT1";"BC3AAPC";"BC3AAPC";"BAT_BC3AAPC";"Holder Batt 3-AA Cells Pc Mnt Check availability";"";"";"In Stock";" BATTERY HOLDER AA 3 CELL PC PIN ";"";"";"";"";"MPD";"";"";"";"";"BC3AAPC";"";"None";"None";"";"https://pricing.snapeda.com/search/part/BC3AAPC/?ref=eda";"";"";
"C1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C3";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"";"1.0uF";
"C4";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"";"1.0uF";
"C5";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C6";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C7";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C8";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C9";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C10";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C11";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C12";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C13";"68uF";"T491A686M006AT";"CAPMP3216X180N";"4.7µF Molded Tantalum Capacitors 25V 1206 (3216 Metric) 6Ohm   Check availability";"";"";"In Stock";" 68 µF Molded Tantalum Capacitors 6.3 V 1206 (3216 Metric) 4Ohm ";"";"";"";"";"KEMET";"";"";"";"";"T491A686M006AT";"";"SMD-2 KEMET";"None";"";"https://pricing.snapeda.com/search/part/T491A686M006AT/?ref=eda";"";"";
"C14";"33uF";"TAJA336K006RNJ";"CAPMP3216X180N";"1µF Molded Tantalum Capacitors 16V 1206 (3216 Metric) 11Ohm @ 100kHz  Check availability";"";"";"In Stock";" 33 µF Molded Tantalum Capacitors 6.3 V 1206 (3216 Metric) 2.2Ohm ";"";"";"";"";"AVX";"";"";"";"";"TAJA336K006RNJ";"";"1206 AVX Corporation";"None";"";"https://pricing.snapeda.com/search/part/TAJA336K006RNJ/?ref=eda";"";"";
"C15";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C16";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C17";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C18";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C19";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"";"1.0uF";
"C20";"27pf";"CERAMIC-27PF-50V-5%-NPO(0603)";"C0603";"302010142";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CC0603JRNPO9BN270";"";"";"";"";"";"27pf";
"C21";"27pf";"CERAMIC-27PF-50V-5%-NPO(0603)";"C0603";"302010142";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CC0603JRNPO9BN270";"";"";"";"";"";"27pf";
"C22";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"D1";"";"DIODESOD-123";"SOD-123";"Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-08575";"";"";"BLUE";
"IC1";"DA7280-00FVC";"DA7280-00FVC";"QFN65P300X300X84-12N";"The DA7280 high-definition (HD) haptic driver combines custom drive sequences, on- and off-resonance, at up to 1kHz. The DA7280 can drive both ERM and LRA (narrow and wideband) actuators and track resonance up to 300Hz to drive the most complex click/vibration touch effects in a wide range of applications.The DA7280 combines very low idle current consumption (360nA) with low-latency trigger inputs to minimize the delay after button presses when an application process is in deep sleep.Benefits\tConstant reson";"";"";"";"The DA7280 high-definition (HD) haptic driver combines custom drive sequences, on- and off-resonance, at up to 1kHz. The DA7280 can drive both ERM and LRA (narrow and wideband) actuators and track resonance up to 300Hz to drive the most complex click/vibration touch effects in a wide range of applications.The DA7280 combines very low idle current consumption (360nA) with low-latency trigger inputs to minimize the delay after button presses when an application process is in deep sleep.Benefits Constant reson";"";"0.84mm";"Renesas Electronics";"DA7280-00FVC";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"";"CONN_03LONGPADS";"1X03_LONGPADS";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J3";"";"CONN_022.54MM_SCREWTERM";"1X02_2.54_SCREWTERM";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J4";"";"CONN_022.54MM_SCREWTERM";"1X02_2.54_SCREWTERM";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J5";"";"QWIIC_CONNECTORJS-1MM";"1X04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
