Comment,Designator,Footprint,LCSC Part #
0.1uF,D1 J5 C1 C2 C5 C6 C7 C8 C9 C10 C11 C12 C15 C16 C17 C18 C22,0603,
1.0uF,C3 C4 C19,0603,
1k,R11 R12 R13 R14,0603,
2.5A/30V/105mΩ,Q1,SOT23-3,
4.7k,R8 R9,0603,
5.1k,R5 R6,0603,
10k,R3 R7,0603,
27,R1 R2,0603,
27pf,C20 C21,C0603,
33uF,C14,CAPMP3216X180N,
68uF,C13,CAPMP3216X180N,
100,R15 R16 R17 R18,0603,
330,R10,0603,
ABLS-12.000MHZ-B4-T,Y1,XTAL_ABLS-12.000MHZ-B4-T,
BLUE,D2,LED-0603,
BME688,U4,IC_BME688,
BMI270,U5,XDCR_BMI270,
DA7280-00FVC,IC1,QFN65P300X300X84-12N,
DX07S016JA1R1500,J9,JAE_DX07S016JA1R1500,
ICS-41350,MK1,MIC_ICS-41350,
LP3961EMP-3.3,U3,SOT150P696X180-5N,
MDT420E01001NOTECARD,J7,NOTECARD,
MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM,S1 S2,TACTILE_SWITCH_SMD_6.0X3.5MM,
RP2040,U1,QFN40P700X700X90-57N,
TC78H651AFNG,U$1,P-TSSOP16-0505-0.65-001,
W25Q512JVEIM,U2,SON127P600X800X80-9N,
